-237.27269399090937	-153.5033427188871	cta_mst
-234.76512933228355	+155.6701565961304	cta_mst
-166.3239988109592	-315.3819201904291	cta_mst
-148.25809586267064	-0.166620686641181	cta_mst
-77.27358658255116	-123.2943417750343	cta_mst
-72.58097671574865	+146.0866114691152	cta_mst
+2.8244558970934577	-1.624986249447829	cta_mst
+5.331866516578657	+307.3818427155345	cta_mst
+78.50138249508973	+144.4199079687646	cta_mst
+78.23008105886129	-149.1282460304669	cta_mst
+153.90681510793206	-3.291689749798479	cta_mst
+162.50277679533338	-318.5069892535864	cta_mst
+215.9745761905317	-158.2951152823948	cta_mst
+242.92179833402201	+150.4617081575352	cta_mst
